dataset,method,query_id,k,matches,elapsed_ms,status,ts
sentiment,sed_topdiff_within,0,30,126,130.416,ok,2026-07-15T19:57:11+02:00
sentiment,sed_topdiff_within,1,30,196,141.968,ok,2026-07-15T19:57:11+02:00
sentiment,sed_topdiff_within,2,30,122,144.400,ok,2026-07-15T19:57:12+02:00
sentiment,sed_topdiff_within,3,29,88,124.807,ok,2026-07-15T19:57:12+02:00
sentiment,sed_topdiff_within,4,30,192,146.964,ok,2026-07-15T19:57:12+02:00
sentiment,sed_topdiff_within,5,30,105,134.426,ok,2026-07-15T19:57:12+02:00
sentiment,sed_topdiff_within,6,30,150,153.539,ok,2026-07-15T19:57:12+02:00
sentiment,sed_topdiff_within,7,30,123,132.003,ok,2026-07-15T19:57:12+02:00
sentiment,sed_topdiff_within,8,30,102,123.008,ok,2026-07-15T19:57:13+02:00
sentiment,sed_topdiff_within,9,29,88,117.038,ok,2026-07-15T19:57:13+02:00
sentiment,sed_topdiff_within,10,30,125,130.093,ok,2026-07-15T19:57:13+02:00
sentiment,sed_topdiff_within,11,30,118,133.750,ok,2026-07-15T19:57:13+02:00
sentiment,sed_topdiff_within,12,29,83,114.247,ok,2026-07-15T19:57:13+02:00
sentiment,sed_topdiff_within,13,29,72,112.237,ok,2026-07-15T19:57:13+02:00
sentiment,sed_topdiff_within,14,30,106,125.824,ok,2026-07-15T19:57:13+02:00
sentiment,sed_topdiff_within,15,30,167,135.426,ok,2026-07-15T19:57:14+02:00
sentiment,sed_topdiff_within,16,30,186,134.036,ok,2026-07-15T19:57:14+02:00
sentiment,sed_topdiff_within,17,30,117,126.241,ok,2026-07-15T19:57:14+02:00
sentiment,sed_topdiff_within,18,30,99,142.775,ok,2026-07-15T19:57:14+02:00
sentiment,sed_topdiff_within,19,29,97,118.448,ok,2026-07-15T19:57:14+02:00
sentiment,sed_topdiff_within,20,30,121,135.251,ok,2026-07-15T19:57:14+02:00
sentiment,sed_topdiff_within,21,30,122,138.571,ok,2026-07-15T19:57:14+02:00
sentiment,sed_topdiff_within,22,30,67,130.602,ok,2026-07-15T19:57:15+02:00
sentiment,sed_topdiff_within,23,30,93,131.199,ok,2026-07-15T19:57:15+02:00
sentiment,sed_topdiff_within,24,30,161,129.291,ok,2026-07-15T19:57:15+02:00
sentiment,sed_topdiff_within,25,31,141,133.808,ok,2026-07-15T19:57:15+02:00
sentiment,sed_topdiff_within,26,30,68,131.922,ok,2026-07-15T19:57:15+02:00
sentiment,sed_topdiff_within,27,30,80,120.079,ok,2026-07-15T19:57:15+02:00
sentiment,sed_topdiff_within,28,31,143,142.456,ok,2026-07-15T19:57:16+02:00
sentiment,sed_topdiff_within,29,31,128,136.993,ok,2026-07-15T19:57:16+02:00
sentiment,sed_topdiff_within,30,30,109,148.842,ok,2026-07-15T19:57:16+02:00
sentiment,sed_topdiff_within,31,30,81,128.054,ok,2026-07-15T19:57:16+02:00
sentiment,sed_topdiff_within,32,30,85,141.362,ok,2026-07-15T19:57:16+02:00
sentiment,sed_topdiff_within,33,31,109,125.635,ok,2026-07-15T19:57:16+02:00
sentiment,sed_topdiff_within,34,30,98,118.757,ok,2026-07-15T19:57:16+02:00
sentiment,sed_topdiff_within,35,30,82,122.400,ok,2026-07-15T19:57:17+02:00
sentiment,sed_topdiff_within,36,30,90,121.616,ok,2026-07-15T19:57:17+02:00
sentiment,sed_topdiff_within,37,30,67,115.529,ok,2026-07-15T19:57:17+02:00
sentiment,sed_topdiff_within,38,30,141,131.219,ok,2026-07-15T19:57:17+02:00
sentiment,sed_topdiff_within,39,30,74,129.230,ok,2026-07-15T19:57:17+02:00
sentiment,sed_topdiff_within,40,29,103,118.007,ok,2026-07-15T19:57:17+02:00
